화면 ID,화면위치,화면 이름,화면 및 기능 설명,비고,디렉토리 명,화면 url
Intro-001,인트로,챌린지 코드,유저가 챌린지 코드 입력을 통해 프로그램에 입장할 수 있는 페이지.,,challenge-code,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-22817&t=CKO2LZQ2pEBcvwvo-4
Intro-002,,챌린지 소개,유저가 챌린지 코드 입력 후  챌린지 내용을 확인하는 페이지.,슬라이드,challenge-intro,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-22880&t=CKO2LZQ2pEBcvwvo-4
Intro-003,,건강 설문 시작 안내 1 (Before),유저의 챌린지 시작 전  초기 건강 설문 진행을 안내하는 페이지,,question-intro,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23294&t=CKO2LZQ2pEBcvwvo-4
Intro-004,,건강 설문 페이지 1,피부 건강 카테고리 : 5문항 : 5지선다의 설문 페이지,모든 설문 완료 후 다음 버튼 클릭 시 Intro-005 화면으로 이동,question,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23013&t=CKO2LZQ2pEBcvwvo-4
Intro-005,,건강 설문 페이지 2,대사 밸런스 카테고리 : 5문항 : 5지선다의 설문 페이지,모든 설문 완료 후 다음 버튼 클릭 시 Intro-006 화면으로 이동,question,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23153&t=CKO2LZQ2pEBcvwvo-4
Intro-006,,건강 설문 페이지 3,장 건강 카테고리 : 5문항 : 5지선다의 설문 페이지,모든 설문 완료 후 다음 버튼 클릭 시 Intro-007 화면으로 이동,question,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23083&t=CKO2LZQ2pEBcvwvo-4
Intro-007,,건강 설문 페이지 4,면역 과민 반응 카테고리 : 5문항 : 5지선다의 설문 페이지,모든 설문 완료 후 다음 버튼 클릭 시 Intro-008 화면으로 이동,question,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23223&t=CKO2LZQ2pEBcvwvo-4
Intro-008,,설문 분석 로딩 (Before),유저의 설문 종료 후  /APP 설문/  검사 결과/  검사 설문을 종합적으로 분석 중임을 알려주는 페이지,로딩 Bar,Intro-loading,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23658&t=CKO2LZQ2pEBcvwvo-4
Intro-009,,나의 유형 분석 1 (인트로),유저의 종합 분석 결과를 보여주는 페이지,4 유형 - intro-004~7의 결과를 종합하여 유형 도출 예정(알고리즘 연결 전),analysis,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23658&t=CKO2LZQ2pEBcvwvo-4
Home-001,홈,홈 (시작 전),유저의 현 상태 및 앞으로 진행 될 내용을 보여주는 페이지,startDt가 today보다 클 경우 표출,home,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2289-36091&t=CKO2LZQ2pEBcvwvo-4
Home-002,,홈 (진행 중),"유저의 현 상태 및 수행 가능한 미션을 보여주는 페이지 
하단 영역에서 클릭 시 각 페이지로 이동 : 퀴즈 - Home-016  루틴 - Home-011  식단: Home-007  영양제(darae) - Home-009  공복시간 - Home-008  수면 - Home-010  미션 -Home-014  상단의 1~7일차 이내일경우: 자기선언문 노출(Home-012) / 상단의 10~15일차일 경우 : 자기 칭찬문 노출(Home-013)",,home,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23312&t=CKO2LZQ2pEBcvwvo-4
Home-003,,홈 (챌린지 종료),유저의 완료 상태 노출,"endDt가 today보다 작을 경우 표출
미션 영역 
* After 건강 설문
* B&A 결과 노출",home,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23428&t=CKO2LZQ2pEBcvwvo-4
Home-004,,나의 유형 분석 2,유형 분석 결과를 확인하는 페이지,intro-009와 화면 구성이 같음.,home-usertype,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-24404&t=CKO2LZQ2pEBcvwvo-4
Home-005,,유형 분석 전체 보기,4유형 분석 중 선택하여 결과 보여주기.,,home-usertype-1,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-24356&t=CKO2LZQ2pEBcvwvo-4
Home-007,,식단 기록,유저가 식단을 기록하는 페이지,,meal,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26256&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26195&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26517&t=CKO2LZQ2pEBcvwvo-4
Home-008,,공복 기록,유저가 공복 시간을 기록하는 페이지,,starve,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26317&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26370&t=CKO2LZQ2pEBcvwvo-4
